taxonomy [%],,taxa [%],GSP T0,So-Sp T0,Sp T0,So T0
Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;RB41;Brevitalea deliciosa,Acidobacteriota,Brevitalea deliciosa,0.003645311,0.031320471,0.010359742,0
Bacteria;Acidobacteriota;Holophagae;Holophagales;Holophagaceae;Holophaga;Holophaga sp.,Acidobacteriota,Holophaga sp.,0,0,0.020719484,0.083942919
Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Luteitalea;Luteitalea pratensis,Acidobacteriota,Luteitalea pratensis,0.27947386,0.200451015,0.111367227,0.251828756
Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Luteitalea;Luteitalea sp.,Acidobacteriota,Luteitalea sp.,0.055894772,0.457278877,0.448058843,0.437702362
Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Vicinamibacter;Vicinamibacter silvestris,Acidobacteriota,Vicinamibacter silvestris,0,0,0.012949678,0
Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Vicinamibacter;Vicinamibacter sp.,Acidobacteriota,Vicinamibacter sp.,0.039490872,0.231771486,0.440289037,0.341767598
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Iamiaceae;Iamia;Aquihabitans daechungensis,Actinobacteriota,Aquihabitans daechungensis,0.176190042,0.087697319,0.044028904,0.017987768
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Iamiaceae;Iamia;Iamia sp.,Actinobacteriota,Iamia sp.,0.580819587,0.457278877,0.70964233,0.677539273
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Ilumatobacter;Ilumatobacter sp.,Actinobacteriota,Ilumatobacter sp.,0.755186974,0.645201704,0.997125172,0.845425111
Bacteria;Actinobacteriota;Actinobacteria;Catenulisporales;Actinospicaceae;Actinospica;Actinospica sp.,Actinobacteriota,Actinospica sp.,0.002430207,0,0,0.017987768
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium agri,Actinobacteriota,Mycobacterium agri,0.020656764,0.037584565,0,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium brisbanense,Actinobacteriota,Mycobacterium brisbanense,0,0.11901779,0.041438968,0.317783907
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium frederiksbergense,Actinobacteriota,Mycobacterium frederiksbergense,0.013973693,0.043848659,0.010359742,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium gordonae,Actinobacteriota,Mycobacterium gordonae,0.008505726,0.037584565,0.111367227,0.035975537
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium holsaticum,Actinobacteriota,Mycobacterium holsaticum,0.007290622,0,0.031079226,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium obuense,Actinobacteriota,Mycobacterium obuense,0,0,0,0.047967382
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium sp.,Actinobacteriota,Mycobacterium sp.,0.111181992,0.156602355,0.17870555,0.059959228
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tusciae,Actinobacteriota,Mycobacterium tusciae,0.475105562,0,1.098132656,0.413718671
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycolicibacterium hassiacum,Actinobacteriota,Mycolicibacterium hassiacum,0.012758589,0,0.010359742,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Gordonia;Gordonia alkanivorans,Actinobacteriota,Gordonia alkanivorans,0,0,0.007769807,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Gordonia;Gordonia terrae,Actinobacteriota,Gordonia terrae,0.021264315,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;Nocardia brasiliensis,Actinobacteriota,Nocardia brasiliensis,0.022479419,0,0,0.017987768
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;Nocardia salmonicida,Actinobacteriota,Nocardia salmonicida,0.005467967,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;Nocardia sp.,Actinobacteriota,Nocardia sp.,0.023086971,0.018792283,0.028489291,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia;Nocardia transvalensis,Actinobacteriota,Nocardia transvalensis,0.001822656,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus erythropolis,Actinobacteriota,Rhodococcus erythropolis,0.004860415,0,0.033669162,0.017987768
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus fascians,Actinobacteriota,Rhodococcus fascians,0.004252863,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus hoagii,Actinobacteriota,Rhodococcus hoagii,0.003645311,0.025056377,0,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus jostii,Actinobacteriota,Rhodococcus jostii,0.002430207,0,0.007769807,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus opacus,Actinobacteriota,Rhodococcus opacus,0.006683071,0,0.119137033,0.017987768
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus sp.,Actinobacteriota,Rhodococcus sp.,0.037668216,0.16286645,0.088057807,0.083942919
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;Rhodococcus triatomae,Actinobacteriota,Rhodococcus triatomae,0.007898174,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Smaragdicoccus;Smaragdicoccus niigatensis,Actinobacteriota,Smaragdicoccus niigatensis,0,0,0.010359742,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Williamsia;Williamsia muralis,Actinobacteriota,Williamsia muralis,0.002430207,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Williamsia;Williamsia sp.,Actinobacteriota,Williamsia sp.,0.009113278,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Acidothermaceae;Acidothermus;Acidothermus sp.,Actinobacteriota,Acidothermus sp.,0.026732282,0.200451015,0.098417549,0.10792661
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Cryptosporangiaceae;Cryptosporangium;Cryptosporangium sp.,Actinobacteriota,Cryptosporangium sp.,0.006075519,0.068905036,0,0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Frankiaceae;Frankia;Frankia sp.,Actinobacteriota,Frankia sp.,0.006075519,0.018792283,0,0.06595515
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Frankiaceae;Jatrophihabitans;Jatrophihabitans endophyticus,Actinobacteriota,Jatrophihabitans endophyticus,0.011543486,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Frankiaceae;Jatrophihabitans;Jatrophihabitans sp.,Actinobacteriota,Jatrophihabitans sp.,0.052857013,0.025056377,0.064748388,0.041971459
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Frankiaceae;Jatrophihabitans;Kaistibacter ginsenosidimutans,Actinobacteriota,Kaistibacter ginsenosidimutans,0.001822656,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Antricoccus;Antricoccus sp.,Actinobacteriota,Antricoccus sp.,0.014581245,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Blastococcus;Blastococcus aggregatus,Actinobacteriota,Blastococcus aggregatus,0.847534858,0.532448008,0.116547098,0.305792061
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Blastococcus;Blastococcus endophyticus,Actinobacteriota,Blastococcus endophyticus,0.218111121,0.081433225,0.012949678,0.059959228
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Blastococcus;Blastococcus jejuensis,Actinobacteriota,Blastococcus jejuensis,0.301953279,0,0.067338323,0.047967382
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Blastococcus;Blastococcus saxobsidens,Actinobacteriota,Blastococcus saxobsidens,0.119687718,0.031320471,0,0.059959228
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Blastococcus;Blastococcus sp.,Actinobacteriota,Blastococcus sp.,4.226738358,3.708343773,1.388205434,2.752128553
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Geodermatophilus;Geodermatophilus daqingensis,Actinobacteriota,Geodermatophilus daqingensis,0.018226556,0,0.038849033,0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Geodermatophilus;Geodermatophilus nigrescens,Actinobacteriota,Geodermatophilus nigrescens,0.006683071,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Geodermatophilus;Geodermatophilus obscurus,Actinobacteriota,Geodermatophilus obscurus,0.032807801,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Geodermatophilus;Geodermatophilus ruber,Actinobacteriota,Geodermatophilus ruber,0.17558249,0.075169131,0.015539613,0.029979614
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Geodermatophilus;Geodermatophilus sabuli,Actinobacteriota,Geodermatophilus sabuli,0.592970625,0.425958406,0.072518194,0.17388176
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Geodermatophilus;Geodermatophilus sp.,Actinobacteriota,Geodermatophilus sp.,0.719341414,0.808068153,0.32892181,0.959347644
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Geodermatophilus;Geodermatophilus tzadiensis,Actinobacteriota,Geodermatophilus tzadiensis,0,0,0.007769807,0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Modestobacter;Modestobacter lapidis,Actinobacteriota,Modestobacter lapidis,0,0.413430218,0,0.473677899
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Modestobacter;Modestobacter multiseptatus,Actinobacteriota,Modestobacter multiseptatus,0.013366141,0.187922826,0.132086711,0.677539273
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Modestobacter;Modestobacter sp.,Actinobacteriota,Modestobacter sp.,0.025517179,0.244299674,0,0.041971459
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Modestobacter;Modestobacter versicolor,Actinobacteriota,Modestobacter versicolor,1.116680337,0.764219494,0.059568517,0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Nakamurellaceae;Nakamurella;Nakamurella endophytica,Actinobacteriota,Nakamurella endophytica,0.002430207,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Nakamurellaceae;Nakamurella;Nakamurella multipartita,Actinobacteriota,Nakamurella multipartita,0.029770042,0,0.056978581,0.071951073
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Nakamurellaceae;Nakamurella;Nakamurella silvestris,Actinobacteriota,Nakamurella silvestris,0.100246059,0.187922826,0.059568517,0.275812448
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Nakamurellaceae;Nakamurella;Nakamurella sp.,Actinobacteriota,Nakamurella sp.,0.069260913,0.075169131,0.163165937,0.17388176
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;Sporichthya;Sporichthya polymorpha,Actinobacteriota,Sporichthya polymorpha,0.007290622,0,0.012949678,0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;Sporichthya;Sporichthya sp.,Actinobacteriota,Sporichthya sp.,0.003037759,0,0.007769807,0.029979614
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Angustibacter;Angustibacter peucedani,Actinobacteriota,Angustibacter peucedani,0.027339834,0.025056377,0.046618839,0
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Angustibacter;Angustibacter sp.,Actinobacteriota,Angustibacter sp.,0.015796349,0.043848659,0.069928259,0.161889915
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineococcus;Kineococcus radiotolerans,Actinobacteriota,Kineococcus radiotolerans,0.0164039,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineococcus;Kineococcus sp.,Actinobacteriota,Kineococcus sp.,0.113004648,0,0,0.059959228
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineococcus;Kineococcus xinjiangensis,Actinobacteriota,Kineococcus xinjiangensis,0.001822656,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineosporia;Kineosporia rhamnosa,Actinobacteriota,Kineosporia rhamnosa,0.003645311,0.037584565,0.018129549,0.029979614
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineosporia;Kineosporia sp.,Actinobacteriota,Kineosporia sp.,0.010935934,0.075169131,0.025899355,0
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Quadrisphaera;Angustibacter speluncae,Actinobacteriota,Angustibacter speluncae,0.015188797,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Quadrisphaera;Quadrisphaera granulorum,Actinobacteriota,Quadrisphaera granulorum,0.02612473,0.050112754,0,0
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Quadrisphaera;Quadrisphaera sp.,Actinobacteriota,Quadrisphaera sp.,0.140952034,0,0,0.047967382
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Bogoriellaceae;Georgenia;Georgenia satyanarayanai,Actinobacteriota,Georgenia satyanarayanai,0.012758589,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Bogoriellaceae;Georgenia;Georgenia soli,Actinobacteriota,Georgenia soli,0.006683071,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium;Brevibacterium sp.,Actinobacteriota,Brevibacterium sp.,0.002430207,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Actinotalea;Actinotalea sp.,Actinobacteriota,Actinotalea sp.,0.075943984,0.062640942,0,0.035975537
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;Cellulomonas cellasea,Actinobacteriota,Cellulomonas cellasea,0.04556639,0.056376848,0.007769807,0.029979614
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;Cellulomonas gelida,Actinobacteriota,Cellulomonas gelida,0.026732282,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;Cellulomonas hominis,Actinobacteriota,Cellulomonas hominis,0.029770042,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;Cellulomonas sp.,Actinobacteriota,Cellulomonas sp.,1.068683739,0.51991982,0.194245163,0.311787984
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Oerskovia;Oerskovia sp.,Actinobacteriota,Oerskovia sp.,0.004860415,0.043848659,0.191655228,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Pseudactinotalea;Actinotalea caeni,Actinobacteriota,Actinotalea caeni,0.012151037,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Pseudactinotalea;Pseudactinotalea sp.,Actinobacteriota,Pseudactinotalea sp.,0.003037759,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Demequinaceae;Demequina;Demequina sp.,Actinobacteriota,Demequina sp.,0.078981743,0.031320471,0.041438968,0.059959228
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Intrasporangium;Intrasporangium sp.,Actinobacteriota,Intrasporangium sp.,0.071083569,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Janibacter;Janibacter melonis,Actinobacteriota,Janibacter melonis,0,0.093961413,0,0.071951073
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Lapillicoccus;Lapillicoccus sp.,Actinobacteriota,Lapillicoccus sp.,0.057717428,0.093961413,0.119137033,0.125914378
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Ornithinimicrobium;Ornithinimicrobium sp.,Actinobacteriota,Ornithinimicrobium sp.,0,0,0,0.017987768
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Oryzihumus;Oryzihumus sp.,Actinobacteriota,Oryzihumus sp.,0.004860415,0,0.044028904,0.053963305
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Pedococcus-Phycicoccus;Pedococcus aerophilus,Actinobacteriota,Pedococcus aerophilus,0.013973693,0,0.132086711,0.101930687
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Pedococcus-Phycicoccus;Pedococcus dokdonensis,Actinobacteriota,Pedococcus dokdonensis,0.063185394,0.050112754,0.059568517,0.059959228
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Terrabacter;Terrabacter sp.,Actinobacteriota,Terrabacter sp.,0.04860415,0.025056377,0,0.023983691
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Tetrasphaera;Phycicoccus elongatus,Actinobacteriota,Phycicoccus elongatus,0,0,0.271943229,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Agrococcus;Agrococcus sp.,Actinobacteriota,Agrococcus sp.,0.037668216,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces;Agromyces aureus,Actinobacteriota,Agromyces aureus,0.052857013,0.081433225,0.137266582,0.095934764
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces;Agromyces flavus,Actinobacteriota,Agromyces flavus,0.012758589,0.018792283,0.015539613,0.041971459
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces;Agromyces fucosus,Actinobacteriota,Agromyces fucosus,0,0,0.028489291,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces;Agromyces iriomotensis,Actinobacteriota,Agromyces iriomotensis,0.075943984,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces;Agromyces lapidis,Actinobacteriota,Agromyces lapidis,0.0164039,0.031320471,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces;Agromyces ramosus,Actinobacteriota,Agromyces ramosus,0.017011452,0.037584565,0.02330942,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces;Agromyces sp.,Actinobacteriota,Agromyces sp.,0.027339834,0.16286645,0.142446453,0.43170644
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Amnibacterium;Amnibacterium sp.,Actinobacteriota,Amnibacterium sp.,0.009113278,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Cryocola;Cryocola antiquus,Actinobacteriota,Cryocola antiquus,0.002430207,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Curtobacterium;Curtobacterium flaccumfaciens,Actinobacteriota,Curtobacterium flaccumfaciens,0.027339834,0.031320471,0,0.059959228
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Galbitalea;Galbitalea sp.,Actinobacteriota,Galbitalea sp.,0.087487469,0,0.212374712,0.023983691
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Homoserinibacter;Homoserinibacter gongjuensis,Actinobacteriota,Homoserinibacter gongjuensis,0.018226556,0.031320471,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Labedella;Labedella gwakjiensis,Actinobacteriota,Labedella gwakjiensis,0.003037759,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Leifsonia;Leifsonia sp.,Actinobacteriota,Leifsonia sp.,0.002430207,0,0.020719484,0.029979614
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Leucobacter;Leucobacter tardus,Actinobacteriota,Leucobacter tardus,0.003645311,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Lysinimonas;Lysinimonas soli,Actinobacteriota,Lysinimonas soli,0.065615602,0.062640942,0.362590971,0.113922533
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Lysinimonas;Lysinimonas sp.,Actinobacteriota,Lysinimonas sp.,0.003645311,0.037584565,0.292662713,0.035975537
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium aoyamense,Actinobacteriota,Microbacterium aoyamense,0.004252863,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium barkeri,Actinobacteriota,Microbacterium barkeri,0.201099669,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium esteraromaticum,Actinobacteriota,Microbacterium esteraromaticum,0.023086971,0,0,0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium flavescens,Actinobacteriota,Microbacterium flavescens,0.032807801,0,0.067338323,0.023983691
